Original_Entity,Mapped_ID
concept:company:worldcom_inc_,187
concept:agriculturalproduct:green_peas,188
concept:geopoliticallocation:santa_fe_springs,189
concept:personmexico:cliff_lee,190
concept:stateorprovince:woman,191
concept:dateliteral:n2002,192
concept:musicalbum:three,193
concept:agriculturalproduct:camels,194
concept:vertebrate:buffaloes,195
concept:company:la,196
concept:city:kansas,197
concept:stateorprovince:wisconsin,198
concept:company:press,199
concept:biotechcompany:section,200
concept:mammal:horses,201
concept:person:don_mattingly,202
concept:stateorprovince:new_jersey,203
concept:geopoliticallocation:national,204
concept:televisionstation:kezi_tv,205
concept:book:six,206
concept:televisionshow:jersey_shore,207
concept:clothing:top,208
concept:university:unc,209
concept:city:sonora,210
concept:vertebrate:small_dogs,211
concept:eventoutcome:treatment,212
concept:island:head,213
concept:stadiumoreventvenue:edward_jones_dome,214
concept:sportsteam:florida_state,215
concept:company:networks,216
concept:governmentorganization:department,217
concept:room:new,218
concept:geopoliticalorganization:abu_dhabi,219
concept:reptile:crocodiles,220
concept:clothing:long_sleeved_shirt,221
concept:recordlabel:music,222
concept:university:ask_jeeves,223
concept:bird:widow,224
concept:coach:cincinnati_bearcats,225
concept:sportsteam:ncaa_mens_midwest_regionals,226
concept:animal:animals001,227
concept:musicartist:american,228
concept:programminglanguage:services,229
concept:company:dell001,230
concept:city:amsterdam,231
concept:language:native_english,232
concept:clothing:skirt,233
concept:stateorprovince:northern_state,234
concept:company:transavia_com,235
concept:governmentorganization:regulations,236
concept:currency:scotland,237
concept:date:n1988,238
concept:sportsteam:texas_rangers,239
concept:company:verizon001,240
concept:awardtrophytournament:ncaa_mens_midwest_regionals,241
concept:biotechcompany:motorola,242
concept:country:mexico,243
concept:company:commerce,244
concept:televisionstation:wbns,245
concept:animal:birds002,246
concept:radiostation:ktxl,247
concept:country:great_britain,248
concept:clothing:halters,249
concept:date:n2003,250
concept:city:ia,251
concept:televisionstation:kstp,252
concept:biotechcompany:merck___co,253
concept:journalist:bob_tedeschi,254
concept:company:walmart,255
concept:date:n2001,256
concept:product:office,257
concept:dateliteral:n2005,258
concept:website:netscape,259
concept:city:land,260
concept:company:national_public_radio001,261
concept:organization:los_angeles_lakers,262
concept:university:team,263
concept:language:french,264
concept:newspaper:north_carolina,265
concept:city:delhi,266
concept:personus:administrator,267
concept:publication:the_washington_post,268
concept:sportsteam:radford_highlanders,269
concept:geopoliticalorganization:south_east_asian_countries,270
concept:weatherphenomenon:air,271
concept:ceo:jack_ma,272
concept:insect:mosquitoes,273
concept:chemical:large_water,274
concept:bank:royal,275
concept:biotechcompany:duke_energy_corporation,276
concept:politicianus:mike_krzyzewski,277
concept:company:expressionengine,278
concept:country:tanzania,279
concept:organization:yankees,280
concept:dateliteral:n2007,281
concept:island:iceland,282
concept:company:the_new_york_times001,283
concept:clothing:work_shirt,284
concept:sportsteam:white_sox,285
concept:personmexico:ncaa,286
concept:coach:mark_richt,287
concept:country:italy,288
concept:clothing:tee,289
concept:university:catholic_university,290
concept:mollusk:page,291
concept:personus:brian_roberts,292
concept:book:electricity,293
concept:city:maywood,294
concept:clothing:lining,295
concept:company:cnbc002,296
concept:company:money,297
concept:city:arkansas,298
concept:bank:bear_stearns,299
concept:currency:bills,300
concept:country:peru,301
concept:person:andrew_kam,302
concept:city:download,303
concept:city:chicago_south,304
concept:sportsteam:carolina_panthers,305
concept:website:south,306
concept:city:newark,307
concept:beverage:grey_water,308
concept:sportsteam:new_york_jets,309
concept:professor:david_gunn,310
concept:city:richland,311
concept:politicalparty:government,312
concept:clothing:miniskirt,313
concept:person:katie,314
concept:museum:air,315
concept:country:benin,316
concept:city:lebanon,317
concept:book:print,318
concept:city:dallas,319
concept:book:traffic,320
concept:river:six,321
concept:radiostation:washington_court_house,322
concept:city:abc,323
concept:language:english,324
concept:person:bill_gates,325
concept:city:arnold,326
concept:musicartist:steve_wynn,327
concept:bank:washington_mutual,328
concept:buildingmaterial:pa,329
concept:personus:clay_johnson,330
concept:sportsteam:morehouse_maroon_tigers,331
concept:person:james003,332
concept:city:lafayette,333
concept:stateorprovince:ak,334
concept:ceo:howard_schultz,335
concept:city:pueblo,336
concept:island:staff,337
concept:organization:blue_jays,338
concept:county:los_angeles_ca,339
concept:county:peachtree_city,340
concept:city:istanbul,341
concept:person:real_madrid,342
concept:geopoliticallocation:bellevue,343
concept:geopoliticallocation:mauritania,344
concept:hotel:york,345
concept:country:jordan,346
concept:animal:herbivores,347
concept:geopoliticalorganization:los_banos,348
concept:geopoliticallocation:florida001,349
concept:personus:rudy_guiliani,350
concept:city:fort_lauderdale,351
concept:building:zilker_park,352
concept:bird:emus,353
concept:stateorprovince:washington_dc,354
concept:biotechcompany:microsoft,355
concept:clothing:tank,356
concept:profession:services_director,357
concept:personmexico:junior,358
concept:person:republican,359
concept:city:moscow,360
concept:company:yahoo__local,361
concept:bank:calvert,362
concept:governmentorganization:transitional_administration,363
concept:website:boards,364
concept:recordlabel:virgin_records,365
concept:coach:jim_harbaugh,366
concept:county:paris,367
concept:personus:alex_cora,368
concept:website:phone,369
concept:city:georgia,370
concept:company:ryanair,371
concept:mammal:wolverines,372
concept:animal:hedgehogs001,373
concept:company:global,374
concept:sportsteam:vanderbilt_commodores,375
concept:person:body,376
concept:dateliteral:n2010,377
concept:profession:providers,378
concept:university:by_name,379
concept:company:kjtv,380
concept:eventoutcome:result,381
concept:criminal:john,382
concept:videogamesystem:wordpad,383
concept:geopoliticalorganization:uk_,384
concept:sportsteam:hawks_los_angeles_lakers_vs,385
concept:televisionnetwork:upn,386
concept:country:uk,387
concept:country:rest,388
concept:eventoutcome:position,389
concept:company:ktvm,390
concept:politicsblog:irish_times,391
concept:university:ministry,392
concept:stateorprovince:minnesota,393
concept:city:albany,394
concept:sportsteam:air_force_falcons,395
concept:stateorprovince:colorado,396
concept:mammal:animals,397
concept:chemical:domestic_water,398
concept:insect:bugs,399
concept:publication:washington,400
concept:sportsteam:bengals,401
concept:city:atlanta,402
concept:visualizablescene:north_olmsted,403
concept:sportsteam:raptors,404
concept:clothing:button_up_shirt,405
concept:company:chronicle,406
concept:creditunion:arizona,407
concept:country:hungary,408
concept:politicaloffice:president,409
concept:landscapefeatures:zone,410
concept:politicsblog:washington_post,411
concept:person:hew,412
concept:city:new_york_metropolitan_area,413
concept:visualizablething:t_shirt,414
concept:city:elmhurst,415
concept:winery:reserve,416
concept:coach:cam_cameron,417
concept:stateorprovince:nebraska,418
concept:clothing:shirts,419
concept:televisionstation:whp,420
concept:governmentorganization:governors,421
concept:visualartmovement:american,422
concept:terroristorganization:list,423
concept:vertebrate:animals_people,424
concept:dateliteral:n2006,425
concept:governmentorganization:bureau,426
concept:politicianus:george_w_bush,427
concept:city:farmhouse,428
concept:company:citysearch,429
concept:date:n2004,430
concept:clothing:blazer,431
concept:country:usa,432
concept:county:union_city,433
concept:person:don_l__blankenship,434
concept:company:htc,435
concept:clothing:polos,436
concept:organization:apple_inc,437
concept:geopoliticallocation:uk001,438
concept:male:path,439
concept:female:nike,440
concept:country:estonia,441
concept:river:potomac,442
concept:city:dodoma,443
concept:bank:barclays,444
concept:newspaper:times,445
concept:university:ucla,446
concept:city:web,447
concept:politicianus:jobs,448
concept:hotel:holiday_inn_express_downtown,449
concept:geopoliticalorganization:fullerton,450
concept:athlete:ind,451
concept:country:__america,452
concept:geopoliticallocation:state,453
concept:book:firefox,454
concept:publication:the_los_angeles,455
concept:company:ktul,456
concept:person:dr_daniel_vasella,457
concept:city:click,458
concept:city:miami,459
concept:sportsteam:new_york_mets,460
concept:stateorprovince:tennessee,461
concept:stateorprovince:north_dakota,462
concept:invertebrate:worms,463
concept:clothing:sweaters,464
concept:mlauthor:web_search,465
concept:biotechcompany:toronto,466
concept:sportsteam:san_diego_chargers_tickets,467
concept:bird:owls,468
concept:sportsteam:bills,469
concept:politicianus:christopher_dodd,470
concept:stateorprovince:louisiana,471
concept:city:downtown_dc,472
concept:company:ferrari,473
concept:physicalaction:platform,474
concept:sportsteam:webster_gorlocks,475
concept:city:baghdad,476
concept:religion:palestine,477
concept:ceo:sally_osberg,478
concept:city:columbia,479
concept:city:jeffersonville,480
concept:geopoliticallocation:lakeport,481
concept:female:virgin,482
concept:clothing:baggy_pants,483
concept:programminglanguage:state,484
concept:city:texas,485
concept:blog:sun_times,486
concept:clothing:overalls,487
concept:physicalaction:formation,488
concept:language:turkish,489
concept:sportsteam:heat,490
concept:retailstore:marketplace,491
concept:personasia:news_articles,492
concept:stateorprovince:maryland,493
concept:televisionstation:knvn_tv,494
concept:animal:bed,495
concept:company:wnuv_tv,496
concept:sportsteam:chicago_cardinals,497
concept:university:southern_methodist_university,498
concept:professor:neal_morse,499
concept:writer:rupert_murdoch,500
concept:clothing:mask,501
concept:school:usc,502
concept:weapon:facilities,503
concept:clothing:jacket,504
concept:country:ghana,505
concept:emotion:years,506
concept:city:portland,507
concept:profession:spokane,508
concept:athlete:lt__joseph_r__hunt,509
concept:bodypart:system001,510
concept:geopoliticallocation:comoros,511
concept:organization:dodgers,512
concept:politicsissue:service,513
concept:stateorprovince:shops,514
concept:geopoliticallocation:grenada,515
concept:coach:kiffin,516
concept:geopoliticalorganization:malawi,517
concept:sportsteam:murray_state,518
concept:coach:andrew_mason,519
concept:visualizableobject:shirt,520
concept:terroristorganization:times,521
concept:personmexico:woody_johnson,522
concept:bank:bank_card,523
concept:animal:pets001,524
concept:radiostation:san_angelo,525
concept:stateorprovince:new_york,526
concept:blog:site,527
concept:city:genoa,528
concept:food:adequate_water,529
concept:jobposition:dean,530
concept:city:antioch,531
concept:politicianus:jerry_brown,532
concept:male:gao,533
concept:city:lynnwood,534
concept:university:national,535
concept:radiostation:cleveland,536
concept:country:greece,537
concept:city:kansas_city,538
concept:farm:creamery,539
concept:stateorprovince:home,540
concept:televisionstation:kued_tv,541
concept:sport:baseball,542
concept:county:trabuco_canyon,543
concept:city:auburn,544
concept:city:newcastle,545
concept:geopoliticallocation:authorities,546
concept:clothing:vest_top,547
concept:person:white,548
concept:city:bangkok,549
concept:company:hsbc,550
concept:sport:golf,551
concept:monument:cornerstone,552
concept:university:villanova,553
concept:jobposition:citi,554
concept:city:addis_ababa,555
concept:insect:beneficial_insects,556
concept:sportsteam:maine_black_bears,557
concept:company:wbuw,558
concept:insect:moth,559
concept:sportsteam:new_york_giants,560
concept:ceo:susan_m__ivey,561
concept:lake:pennington,562
concept:country:luxembourg,563
concept:mammal:cats,564
concept:company:energysolutions,565
concept:company:wluk_tv,566
concept:person:lyor_cohen,567
concept:city:house,568
concept:country:new_south_wales,569
concept:politicianus:nigel_davies,570
concept:city:santa_clara,571
concept:politicsblog:san_francisco_chronicle,572
concept:coach:chan_gailey,573
concept:clothing:trousers,574
concept:automobilemaker:nissan,575
concept:university:ohio_state,576
concept:journalist:stephen_bennett,577
concept:person:japan,578
concept:recordlabel:southern,579
concept:athlete:pujols,580
concept:country:party,581
concept:stateorprovince:nevada,582
concept:musicalbum:true_love,583
concept:city:atherton,584
concept:sportsteam:philadelphia_phillies,585
concept:company:twitter,586
concept:university:harvard_university,587
concept:televisionstation:tie,588
concept:hotel:rates,589
concept:city:inglewood,590
concept:geopoliticallocation:equator__guinea,591
concept:university:program,592
concept:country:france_france,593
concept:website:trip,594
concept:university:lucent_technologies,595
concept:company:apple,596
concept:insect:scale_insects,597
concept:insect:pests,598
concept:governmentorganization:u_s__department,599
concept:blog:__google,600
concept:city:prague,601
concept:criminal:red_sox,602
concept:city:tualatin,603
concept:company:wyle,604
concept:clothing:gloves,605
concept:country:kazakhstan,606
concept:buildingfeature:section,607
concept:company:intel,608
concept:televisionstation:wdaz_tv,609
concept:sportsteam:cincinnati_red_stockings,610
concept:coach:tomlin,611
concept:attraction:major_metropolitan_area,612
concept:geopoliticallocation:southwest,613
concept:ceo:charles_wang,614
concept:city:paradise,615
concept:geopoliticalorganization:burlington,616
concept:animal:organisms,617
concept:location:johnstown,618
concept:sport:soccer,619
concept:visualizablescene:halmstad,620
concept:clothing:diaper,621
concept:hotel:park_hyatt,622
concept:book:basic,623
concept:stateorprovince:michigan,624
concept:company:wnjs,625
concept:hobby:being,626
concept:bedroomitem:order,627
concept:room:lithonia,628
concept:female:yankees,629
concept:website:resources,630
concept:visualizablething:much_water,631
concept:clothing:loose_trousers,632
concept:country:switzerland_switzerland,633
concept:sportsteam:washington_senators,634
concept:coach:randy_edsall,635
concept:city:article,636
concept:personus:ichiro_suzuki,637
concept:country:king,638
concept:ceo:gerard_arpey,639
concept:sportsteam:astros,640
concept:magazine:people,641
concept:country:american_countries,642
concept:politicianus:richard_nixon,643
concept:clothing:plain_white_tee,644
concept:ceo:niklas_zennstr_m,645
concept:bank:us_priority_mail,646
concept:sportsteam:rangers,647
concept:scientist:assistant_professor,648
concept:museum:greenville,649
concept:city:oakland,650
concept:city:houston,651
concept:profession:gas,652
concept:landscapefeatures:coastal_areas,653
concept:newspaper:iowa,654
concept:city:whitehorse,655
concept:company:us_airways,656
concept:city:wichita_falls,657
concept:country:belize,658
concept:city:mission,659
concept:female:karzai,660
concept:stadiumoreventvenue:sbc_center,661
concept:geopoliticallocation:west_hollywood,662
concept:coach:john_chaney,663
concept:governmentorganization:state_department,664
concept:person:luiz_furlan,665
concept:university:search,666
concept:clothing:denim,667
concept:personnorthamerica:bret_baier,668
concept:city:brazzaville,669
concept:biotechcompany:deutsche_telekom_ag,670
concept:website:launch,671
concept:disease:reflex_sympathetic_dystrophy,672
concept:stateorprovince:ontario,673
concept:coach:dabo_swinney,674
concept:governmentorganization:rule,675
concept:programminglanguage:backup,676
concept:city:tenerife,677
concept:person:minnesota,678
concept:governmentorganization:west_virginia_department,679
concept:sportsteam:houston_rockets,680
concept:book:house,681
concept:sportsteam:pats,682
concept:city:london,683
concept:language:arabic,684
concept:sportsteam:man_utd,685
concept:musicsong:heartbeat,686
concept:city:plans,687
concept:televisionstation:kpts,688
concept:sportsteam:oakland_a_s,689
concept:sportsteam:pittsburgh_penguins,690
concept:county:blackstone,691
concept:filmfestival:new_york_times_company,692
concept:country:wales,693
concept:politicianus:barack_obama,694
concept:language:aramaic,695
concept:geopoliticallocation:alaska001,696
concept:buildingfeature:packages,697
concept:city:beverly,698
concept:country:south_africa,699
concept:insect:invertebrates,700
concept:person:lloyd_blankfein,701
concept:politicianus:charles_krauthammer,702
concept:kitchenitem:policy,703
concept:personus:bar_association,704
concept:sportsteam:florida_atlantic_owls,705
concept:visualizablescene:trois_rivieres,706
concept:city:amberg,707
concept:sportsleague:ncaa,708
concept:city:mexico_city,709
concept:programminglanguage:technology,710
concept:stateorprovince:oklahoma,711
concept:male:course,712
concept:hospital:providence,713
concept:university:college,714
concept:ceo:robert_d__walter,715
concept:sportsleague:nba,716
concept:stateorprovince:gold,717
concept:country:colombia,718
concept:retailstore:l_l_bean_outdoor_discovery_schools,719
concept:governmentorganization:us_department,720
concept:stateorprovince:hilo,721
concept:park:coconut_creek,722
concept:date:n1999,723
concept:country:trinidad_and_tobago,724
concept:country:pa,725
concept:televisionstation:wboc,726
concept:sportsteam:arkansas_state_red_wolves,727
concept:city:san_pedro,728
concept:televisionstation:wmvt,729
concept:city:west_sacramento,730
concept:city:nanjing,731
concept:year:n1994,732
concept:city:oxnard,733
concept:visualartist:specialist,734
concept:mammal:canines,735
concept:company:slashdot,736
concept:coach:mississippi_state_bulldogs,737
concept:weatherphenomenon:memphis,738
concept:sportsteam:san_diego_padres,739
concept:university:introduction,740
concept:televisionstation:wtvt,741
concept:company:kaft,742
concept:geopoliticallocation:williamstown,743
concept:country:china,744
concept:clothing:hard_hats,745
concept:university:cincinnati,746
concept:publication:mci,747
concept:televisionnetwork:cw,748
concept:clothing:light_jacket,749
concept:company:badr,750
concept:sportsteam:baltimore_orioles,751
concept:building:facilities,752
concept:clothing:slacks,753
concept:university:google,754
concept:city:dixon,755
concept:weatherphenomenon:pressure,756
concept:visualizablescene:laguna_woods,757
concept:city:clinton,758
concept:stadiumoreventvenue:the_horseshoe_tavern,759
concept:musicartist:allies,760
concept:company:google,761
concept:weapon:mechanism,762
concept:politicaloffice:assistant,763
concept:airport:perugia,764
concept:country:bulgaria,765
concept:politicsblog:austin_american,766
concept:politicianus:tom_barrett,767
concept:profession:cleaners,768
concept:city:norman,769
concept:insect:mosquito,770
concept:month:august,771
concept:politician:rodham_clinton,772
concept:product:toshiba,773
concept:university:purdue,774
concept:coach:derek_dooley,775
concept:musicalbum:life,776
concept:mammal:puppies,777
concept:biotechcompany:intel,778
concept:sportsteam:marlins,779
concept:politicianus:henry_paulson,780
concept:transportation:u_p_s_,781
concept:company:abc_news,782
concept:city:moncton,783
concept:geopoliticalorganization:zealand,784
concept:stateorprovince:northern_illinois,785
concept:city:spokane,786
concept:radiostation:wgcl,787
concept:country:afghanistan,788
concept:university:wozniak,789
concept:radiostation:wbff,790
concept:biotechcompany:malaysian,791
concept:ceo:rem_vyakhirev,792
concept:mammal:small_pets,793
concept:geometricshape:property,794
concept:company:ivanhoe,795
concept:coach:cincinnati,796
concept:geopoliticallocation:foreign_countries,797
concept:country:russia,798
concept:automobilemaker:gm,799
concept:person:val_christensen,800
concept:stateorprovince:missouri,801
concept:geopoliticalorganization:atlanta,802
concept:company:ktfd_tv,803
concept:book:change,804
concept:company:detroit,805
concept:city:colmar,806
concept:language:slavic,807
concept:website:feature,808
concept:hotel:plaza,809
concept:politicsblog:forbes,810
concept:animal:creatures,811
concept:creativework:dangerous_blood,812
concept:televisionstation:cnn,813
concept:male:american_university,814
concept:stateorprovince:north_carolina,815
concept:stateorprovince:delaware,816
concept:city:libreville,817
concept:transportation:luton,818
concept:language:russian,819
concept:animal:large_animals,820
concept:visualizablething:santa_clarita,821
concept:company:ktvw_tv,822
concept:school:pennsylvania_schools,823
concept:airport:south_america,824
concept:stadiumoreventvenue:reliant_stadium,825
concept:biotechcompany:honda_motor_co__ltd,826
concept:planet:potpourri,827
concept:clothing:bikinis,828
concept:person:steve_case,829
concept:radiostation:wbtv,830
concept:clothing:pant,831
concept:charactertrait:prevention,832
concept:politicaloffice:windows,833
concept:animal:chicken001,834
concept:stateorprovince:rights,835
concept:sportsteam:new_orleans_saints,836
concept:city:sources,837
concept:clothing:tops,838
concept:male:carmel,839
concept:publication:cnn,840
concept:county:san_diego,841
concept:visualizableobject:coat,842
concept:company:mbia,843
concept:room:systems,844
concept:clothing:hat,845
concept:kitchenitem:public_water,846
concept:building:years,847
concept:stateorprovince:maine,848
concept:company:daily_news001,849
concept:musicalbum:line,850
concept:city:berlin,851
concept:automobilemaker:fiat,852
concept:sportsteam:ucla_bruins_basketball,853
concept:politicianus:palin,854
concept:mammal:whales,855
concept:mammal:small_animals,856
concept:sportsteam:umass_minutemen_mens_basketball,857
concept:clothing:tights,858
concept:product:adobe_acrobat_reader,859
concept:clothing:jogging_pants,860
concept:island:side,861
concept:politicalparty:national_unity,862
concept:city:new_orleans,863
concept:date:n1989,864
concept:geopoliticallocation:area,865
concept:mlalgorithm:solutions,866
concept:university:microsoft,867
concept:model:suchin_pak,868
concept:person:technology,869
concept:company:air_namibia,870
concept:sportsteam:utah_jazz,871
concept:insect:cockroaches,872
concept:building:american_history,873
concept:sportsteam:kings_college,874
concept:coach:office_depot,875
concept:clothing:pajamas,876
concept:geopoliticallocation:african_countries,877
concept:company:qwest,878
concept:country:vietnam,879
concept:stateorprovince:montana,880
concept:clothing:summer_dress,881
concept:politician:world,882
concept:stateorprovince:uttaranchal,883
concept:company:germanwings,884
concept:county:new_mexico,885
concept:scientist:milton,886
concept:city:salinas,887
concept:coach:houston_nutt,888
concept:creditunion:wisconsin,889
concept:city:college,890
concept:stateorprovince:presentation,891
concept:sportsteam:missouri_southern_state_lions,892
concept:company:royal_air_maroc,893
concept:sportsteam:clark_atlanta_panthers,894
concept:scientist:tom_leighton,895
concept:geopoliticallocation:state002,896
concept:transportation:fed_ex_ground,897
concept:geopoliticallocation:support,898
concept:clothing:dresses,899
concept:animal:beasts,900
concept:sportsteam:new_york_football_giants,901
concept:televisionshow:comments,902
concept:clothing:scarf,903
concept:tradeunion:search,904
concept:stadiumoreventvenue:heinz_field,905
concept:visualartist:romney,906
concept:male:united_kingdom,907
concept:city:lawrence,908
concept:sportsteam:washington_nationals,909
concept:sportsteam:colorado_rapids,910
concept:personaustralia:c_j__wilson,911
concept:insect:beetles,912
concept:publication:philippines,913
concept:clothing:tennis_shoes,914
concept:politicianus:sen__barack,915
concept:sportsteam:concordia_texas_tornadoes,916
concept:personaustralia:sports,917
concept:reptile:martial_eagle,918
concept:geopoliticallocation:agencies,919
concept:city:belmopan,920
concept:stateorprovince:dc,921
concept:clothing:bottoms,922
concept:company:kqed_tv,923
concept:radiostation:kivi,924
concept:company:delaware,925
concept:radiostation:whiz,926
concept:eventoutcome:effective_water,927
concept:clothing:jumpsuit,928
concept:mammal:wild_animals,929
concept:stateorprovince:newyork,930
concept:city:nogales,931
concept:geopoliticallocation:willow_spring,932
concept:geopoliticalorganization:winter,933
concept:university:new_mexico_state,934
concept:academicfield:directors,935
concept:personmexico:kevin_slowey,936
concept:person:cohen,937
concept:museum:marvel,938
concept:politicsissue:programs,939
concept:musicalbum:us,940
concept:vertebrate:household_pets,941
concept:visualizablething:drexel_hill,942
concept:personus:scott_podsednik,943
concept:newspaper:new_york_times_business_section,944
concept:bank:ups_ground,945
concept:insect:bees,946
concept:country:prussia,947
concept:ceo:dwayne_andreas,948
concept:personcanada:search,949
concept:company:wtta_tv,950
concept:geopoliticallocation:washingtondc,951
concept:stateorprovince:sichuan_province,952
concept:geopoliticalorganization:carmel_by_the_sea,953
concept:ceo:james_ziemer,954
concept:company:microsoft,955
concept:stateorprovince:ministers,956
concept:country:germany,957
concept:city:alabama,958
concept:city:milwaukee,959
concept:county:san_francisco,960
concept:personus:alan_ball,961
concept:personafrica:jane_friedman,962
concept:disease:alzheimer,963
concept:website:reader,964
concept:company:express,965
concept:sportsteam:tampa,966
concept:personmexico:jim_rogers,967
concept:monument:trade,968
concept:cardgame:board,969
concept:city:beijing,970
concept:politicianus:bill_clinton,971
concept:city:canton,972
concept:crimeorcharge:months,973
concept:hospital:state_university,974
concept:coach:dennis_felton,975
concept:geopoliticallocation:livonia,976
concept:country:turkey,977
concept:sportsleague:nhl,978
